,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,868.0,664.0,599.0,5.0,76.5,3.14,5.68,88.0,28.0,6.81,29.93870967741936,14.37741935483871,0.2,False,False,False,True,False,1,1,93.0,840.0,678.0,600.3333333333334,775.0,0.7649769585253456,399.6666666666667,19.666666666666668,56.666666666666664,2.6666666666666665,15.561290322580652,26.727240143369176,12.733333333333313,22.902423071205593,173.60000000000002,776.0,858.25
13,2015-02-01,784.0,497.0,492.0,4.0,63.39,2.96,4.82,83.0,28.0,5.93,28.70357142857143,14.232142857142858,1.2,False,False,False,True,False,2,1,868.0,93.0,840.0,581.6666666666666,-84.0,0.6339285714285714,389.3333333333333,19.666666666666668,58.0,3.0,14.471428571428572,28.350652841781876,8.466666666666647,18.196014030612243,940.8,840.0,737.75
14,2015-03-01,868.0,611.0,512.0,3.0,70.39,3.11,3.45,87.0,28.0,5.89,27.72903225806452,12.796774193548387,9.3,False,False,False,True,False,3,1,784.0,868.0,93.0,840.0,84.0,0.7039170506912442,590.6666666666666,28.0,86.0,4.0,14.932258064516134,28.790437788018437,3.5666666666666482,19.518938605619148,8072.400000000001,868.0,879.0
15,2015-04-01,840.0,398.0,392.0,3.0,47.38,2.39,4.48,67.0,28.0,5.85,23.02,9.513333333333332,21.0,False,False,False,True,False,4,2,868.0,784.0,868.0,830.6666666666666,-28.0,0.4738095238095238,502.0,28.0,79.0,3.3333333333333335,13.506666666666668,26.484201228878646,10.49999999999998,10.907095238095238,17640.0,840.0,867.8181818181819
16,2015-05-01,868.0,488.0,726.0,3.0,56.22,2.57,4.17,72.0,28.0,10.08,17.016129032258064,6.019354838709678,47.9,False,True,False,False,False,5,2,840.0,868.0,784.0,858.6666666666666,28.0,0.5622119815668203,499.0,28.0,75.33333333333333,3.0,10.996774193548386,22.5883870967742,26.06666666666665,9.566671621822506,41577.2,868.0,847.0909090909091
17,2015-06-01,840.0,535.0,390.0,2.0,63.69,2.75,2.6,77.0,28.0,5.06,14.153333333333334,4.116666666666666,133.0,False,False,True,False,False,6,2,868.0,840.0,868.0,849.3333333333334,-28.0,0.6369047619047619,473.6666666666667,28.0,72.0,2.6666666666666665,10.036666666666669,18.0631541218638,67.29999999999998,9.014325396825397,111720.0,90.0,806.3636363636364
18,2015-07-01,868.0,597.0,549.0,4.0,68.78,2.61,5.48,73.0,28.0,7.52,12.52258064516129,3.9967741935483874,307.0,True,False,False,False,False,7,3,840.0,868.0,840.0,858.6666666666666,28.0,0.6877880184331797,540.0,28.0,74.0,3.0,8.525806451612901,14.56401433691756,162.63333333333333,8.612880927605172,266476.0,868.0,794.0
19,2015-08-01,867.0,589.0,818.0,3.0,67.94,3.18,3.37,89.0,27.97,9.19,14.196774193548388,5.4,344.5,True,False,False,False,False,8,3,868.0,840.0,868.0,858.3333333333334,-1.0,0.6793540945790081,573.6666666666666,27.99,79.66666666666667,3.0,8.796774193548387,13.624229390681004,261.5,9.644636678200692,298681.5,868.0,859.8181818181819
20,2015-09-01,840.0,576.0,507.0,1.0,68.57,2.96,1.2,83.0,28.0,6.11,15.566666666666666,4.946666666666667,127.1,False,True,False,False,False,9,3,867.0,868.0,840.0,858.3333333333334,-27.0,0.6857142857142857,587.3333333333334,27.99,81.66666666666667,2.6666666666666665,10.62,14.095340501792114,259.53333333333336,10.674285714285714,106764.0,810.0,832.0909090909091
21,2015-10-01,868.0,532.0,514.0,6.0,61.29,3.29,6.52,92.0,28.0,5.59,17.23548387096774,5.958064516129032,140.6,False,True,False,False,False,10,4,840.0,867.0,868.0,858.3333333333334,28.0,0.6129032258064516,565.6666666666666,27.99,88.0,3.3333333333333335,11.27741935483871,15.666308243727599,204.0666666666667,10.563683662851195,122040.79999999999,678.0,867.6363636363636
22,2015-11-01,840.0,439.0,377.0,0.0,52.26,2.46,0.0,69.0,28.0,5.46,22.1,9.176666666666668,9.6,False,False,False,True,False,11,4,868.0,840.0,867.0,849.3333333333334,-28.0,0.5226190476190476,515.6666666666666,28.0,81.33333333333333,2.3333333333333335,12.923333333333334,18.30071684587814,92.43333333333334,11.549880952380954,8064.0,840.0,848.1818181818181
23,2015-12-01,776.0,457.0,357.0,2.0,58.89,2.96,2.7,74.0,25.03,4.82,27.238709677419354,11.86774193548387,1.7000000000000002,False,False,False,True,False,12,4,840.0,868.0,840.0,828.0,-64.0,0.5889175257731959,476.0,27.01,78.33333333333333,2.6666666666666665,15.370967741935484,22.191397849462362,50.63333333333333,16.041353508480213,1319.2,93.0,785.0909090909091
24,2016-01-01,868.0,403.0,425.0,5.0,46.43,2.32,7.69,65.0,28.0,6.54,28.3483870967742,14.641935483870968,11.2,False,False,False,False,True,1,1,776.0,840.0,868.0,828.0,92.0,0.4642857142857143,433.0,27.01,69.33333333333333,2.3333333333333335,13.706451612903232,25.89569892473118,7.5,13.161751152073736,9721.599999999999,868.0,858.25
25,2016-02-01,812.0,491.0,399.0,2.0,60.47,2.43,2.94,68.0,28.0,5.87,29.22142857142857,14.082142857142856,1.5,False,False,False,True,False,2,1,868.0,776.0,840.0,818.6666666666666,-56.0,0.604679802955665,450.3333333333333,27.01,69.0,3.0,15.139285714285716,28.269508448540705,4.8,17.669607670654468,1218.0,784.0,737.75
26,2016-03-01,868.0,530.0,475.0,4.0,61.06,2.36,6.06,66.0,28.0,7.2,27.154838709677417,12.82258064516129,0.2,False,False,False,True,False,3,1,812.0,868.0,776.0,849.3333333333334,56.0,0.6105990783410138,474.6666666666667,28.0,66.33333333333333,3.6666666666666665,14.332258064516127,28.241551459293394,4.3,16.580719488627913,173.60000000000002,868.0,879.0
27,2016-04-01,933.0,439.0,617.0,1.0,47.05,1.8,1.79,56.0,31.1,11.02,18.73,8.983333333333333,207.6,False,True,False,False,False,4,2,868.0,812.0,868.0,871.0,65.0,0.4705251875669882,486.6666666666667,29.03333333333333,63.333333333333336,2.3333333333333335,9.746666666666668,25.03542242703533,69.76666666666667,8.81293676312969,193690.8,840.0,867.8181818181819
28,2016-05-01,775.0,501.0,677.0,1.0,64.65,2.36,1.69,59.0,25.0,11.47,16.583870967741937,8.51290322580645,84.6,False,False,True,False,False,5,2,933.0,868.0,812.0,858.6666666666666,-158.0,0.6464516129032258,490.0,28.03333333333333,60.333333333333336,2.0,8.070967741935487,20.82290322580645,97.46666666666665,10.720670135275757,65565.0,868.0,847.0909090909091
29,2016-06-01,840.0,532.0,421.0,4.0,63.33,1.93,7.41,54.0,28.0,7.8,13.303333333333336,3.62,19.9,False,True,False,False,False,6,2,775.0,933.0,868.0,849.3333333333334,65.0,0.6333333333333333,490.6666666666667,28.03333333333333,56.333333333333336,2.0,9.683333333333337,16.20573476702509,104.03333333333332,8.425444444444446,16716.0,840.0,806.3636363636364
30,2016-07-01,868.0,510.0,614.0,4.0,58.76,1.96,7.27,55.0,28.0,11.16,12.916129032258064,4.012903225806451,206.8,False,False,True,False,False,7,3,840.0,775.0,933.0,827.6666666666666,28.0,0.5875576036866359,514.3333333333334,27.0,56.0,3.0,8.903225806451612,14.267777777777779,103.76666666666667,7.5889698231009355,179502.40000000002,868.0,794.0
31,2016-08-01,775.0,578.0,596.0,0.0,74.58,2.16,0.0,54.0,25.0,11.04,15.451612903225806,4.6,63.8,False,False,False,True,False,8,3,868.0,840.0,775.0,827.6666666666666,-93.0,0.7458064516129033,540.0,27.0,54.333333333333336,2.6666666666666665,10.851612903225806,13.890358422939068,96.83333333333333,11.523912591050989,49445.0,867.0,859.8181818181819
32,2016-09-01,600.0,750.0,639.0,3.0,125.0,3.05,4.92,61.0,20.0,10.48,19.58,5.8933333333333335,19.8,False,False,False,True,False,9,3,775.0,868.0,840.0,747.6666666666666,-175.0,1.25,612.6666666666666,24.333333333333332,56.666666666666664,2.3333333333333335,13.686666666666664,15.98258064516129,96.80000000000001,24.474999999999998,11880.0,840.0,832.0909090909091
33,2016-10-01,775.0,590.0,474.0,7.0,76.13,2.2,12.73,55.0,25.0,8.62,20.406451612903226,7.919354838709677,108.5,False,False,False,True,False,10,4,600.0,775.0,868.0,716.6666666666666,175.0,0.7612903225806451,639.3333333333334,23.333333333333332,56.666666666666664,3.3333333333333335,12.48709677419355,18.47935483870968,64.03333333333333,15.535234131113421,84087.5,868.0,867.6363636363636
34,2016-11-01,840.0,465.0,589.0,4.0,55.36,2.0,7.14,56.0,28.0,10.52,26.01,10.633333333333333,8.399999999999999,False,False,False,True,False,11,4,775.0,600.0,775.0,738.3333333333334,65.0,0.5535714285714286,601.6666666666666,24.333333333333332,57.333333333333336,4.666666666666667,15.376666666666669,21.998817204301076,45.56666666666667,14.39839285714286,7055.999999999999,840.0,848.1818181818181
35,2016-12-01,961.0,546.0,722.0,3.0,56.82,2.23,4.35,69.0,31.0,10.46,26.93870967741936,12.329032258064515,29.6,False,False,False,False,True,12,4,840.0,775.0,600.0,858.6666666666666,121.0,0.5681581685744017,533.6666666666666,28.0,60.0,4.666666666666667,14.609677419354846,24.451720430107528,48.833333333333336,15.305447954080096,28445.600000000002,776.0,785.0909090909091
36,2017-01-01,868.0,536.0,606.0,2.0,61.75,2.14,3.33,60.0,28.0,10.1,30.570967741935483,15.158064516129032,4.4,False,False,False,True,False,1,1,961.0,840.0,775.0,889.6666666666666,-93.0,0.6175115207373272,515.6666666666666,29.0,61.666666666666664,3.0,15.412903225806451,27.839892473118283,14.133333333333333,18.877924780734354,3819.2000000000003,868.0,858.25
37,2017-02-01,787.0,456.0,786.0,1.0,57.94,2.56,1.39,72.0,28.11,10.92,28.792857142857144,15.210714285714284,2.5,False,False,False,False,True,2,1,868.0,961.0,840.0,872.0,-81.0,0.579415501905972,512.6666666666666,29.036666666666665,67.0,2.0,13.58214285714286,28.76751152073733,12.166666666666666,16.683027772735525,1967.5,812.0,737.75
38,2017-03-01,868.0,364.0,363.0,1.0,41.94,2.36,1.52,66.0,28.0,5.5,25.75483870967742,12.138709677419357,1.9,False,False,False,False,True,3,1,787.0,868.0,961.0,841.0,81.0,0.41935483870967744,452.0,28.036666666666665,66.0,1.3333333333333333,13.616129032258062,28.37288786482335,2.9333333333333336,10.80041623309053,1649.1999999999998,868.0,879.0
39,2017-04-01,840.0,397.0,333.0,2.0,47.26,1.96,3.64,55.0,28.0,6.05,20.02,8.96,52.7,False,False,False,True,False,4,2,868.0,787.0,868.0,831.6666666666666,-28.0,0.4726190476190476,405.6666666666667,28.036666666666665,64.33333333333333,1.3333333333333333,11.059999999999999,24.855898617511517,19.033333333333335,9.461833333333333,44268.0,933.0,867.8181818181819
40,2017-05-01,868.0,419.0,411.0,4.0,48.27,2.25,6.35,63.0,28.0,6.52,14.003225806451614,5.858064516129032,124.9,False,False,True,False,False,5,2,840.0,868.0,787.0,858.6666666666666,28.0,0.4827188940092166,393.3333333333333,28.0,61.333333333333336,2.3333333333333335,8.145161290322582,19.926021505376344,59.833333333333336,6.759621673851643,108413.20000000001,775.0,847.0909090909091
41,2017-06-01,840.0,495.0,436.0,3.0,58.93,2.61,4.11,73.0,28.0,5.97,11.686666666666667,4.069999999999999,239.2,False,False,True,False,False,6,2,868.0,840.0,868.0,849.3333333333334,-28.0,0.5892857142857143,437.0,28.0,63.666666666666664,3.0,7.616666666666668,15.23663082437276,138.9333333333333,6.886785714285715,200928.0,840.0,806.3636363636364
42,2017-07-01,868.0,508.0,571.0,3.0,58.53,2.32,4.62,65.0,28.0,8.78,11.296774193548387,2.3225806451612905,77.7,False,False,True,False,False,7,3,840.0,868.0,840.0,858.6666666666666,28.0,0.5852534562211982,474.0,28.0,67.0,3.3333333333333335,8.974193548387097,12.328888888888889,147.26666666666668,6.6114761409246325,67443.6,868.0,794.0
43,2017-08-01,868.0,540.0,439.0,3.0,62.21,3.11,3.45,87.0,28.0,5.05,12.158064516129032,3.870967741935484,173.1,False,False,True,False,False,8,3,868.0,840.0,868.0,858.6666666666666,0.0,0.6221198156682027,514.3333333333334,28.0,75.0,3.0,8.287096774193548,11.713835125448028,163.33333333333331,7.56377285565631,150250.8,775.0,859.8181818181819
44,2017-09-01,840.0,451.0,378.0,3.0,53.69,2.11,5.08,59.0,28.0,6.41,15.033333333333331,5.026666666666667,70.19999999999999,False,False,False,True,False,9,3,868.0,868.0,840.0,858.6666666666666,-28.0,0.5369047619047619,499.6666666666667,28.0,70.33333333333333,3.0,10.006666666666664,12.829390681003582,107.0,8.071468253968252,58967.99999999999,600.0,832.0909090909091
45,2017-10-01,961.0,446.0,381.0,0.0,46.41,1.74,0.0,54.0,31.0,7.06,17.348387096774193,6.380645161290323,34.6,False,False,False,False,True,10,4,840.0,868.0,868.0,889.6666666666666,121.0,0.46409989594172735,479.0,29.0,66.66666666666667,2.0,10.96774193548387,14.846594982078853,92.63333333333333,8.051384646369709,33250.6,775.0,867.6363636363636
46,2017-11-01,840.0,423.0,427.0,2.0,50.36,1.82,3.92,51.0,28.0,8.37,23.2,10.196666666666664,49.0,False,False,False,True,False,11,4,961.0,840.0,868.0,880.3333333333334,-121.0,0.5035714285714286,440.0,29.0,54.666666666666664,1.6666666666666667,13.003333333333336,18.527240143369173,51.26666666666665,11.682857142857141,41160.0,840.0,848.1818181818181
47,2017-12-01,868.0,329.0,272.0,5.0,37.9,1.82,9.8,51.0,28.0,5.33,27.538709677419355,12.98709677419355,0.5,False,False,False,True,False,12,4,840.0,961.0,840.0,889.6666666666666,28.0,0.3790322580645161,399.3333333333333,29.0,52.0,2.3333333333333335,14.551612903225806,22.695698924731186,28.03333333333332,10.438059313215401,434.0,961.0,785.0909090909091
48,2018-01-01,750.0,299.0,195.0,2.0,39.87,1.94,4.26,47.0,24.19,4.15,28.516129032258064,14.158064516129032,2.3,False,False,False,False,True,1,1,868.0,840.0,961.0,819.3333333333334,-118.0,0.39866666666666667,350.3333333333333,26.73,49.666666666666664,3.0,14.358064516129032,26.418279569892473,17.266666666666655,11.368430107526882,1724.9999999999998,868.0,858.25
49,2018-02-01,784.0,343.0,418.0,2.0,43.75,1.68,4.26,47.0,28.0,8.89,28.735714285714288,14.257142857142856,6.1,False,False,False,False,True,2,1,750.0,868.0,840.0,800.6666666666666,34.0,0.4375,323.6666666666667,26.73,48.333333333333336,3.0,14.478571428571431,28.263517665130568,2.9666666666666566,12.571875,4782.4,787.0,737.75
50,2018-03-01,868.0,504.0,347.0,4.0,58.06,2.21,6.45,62.0,28.0,5.6,24.538709677419355,11.306451612903226,29.1,False,False,False,True,False,3,1,784.0,750.0,868.0,800.6666666666666,84.0,0.5806451612903226,382.0,26.73,52.0,2.6666666666666665,13.23225806451613,27.263517665130568,12.499999999999991,14.248283038501562,25258.800000000003,868.0,879.0
51,2018-04-01,930.0,465.0,298.0,4.0,50.0,1.61,8.0,50.0,31.0,5.96,18.73,8.223333333333334,44.4,False,False,False,True,False,4,2,868.0,784.0,750.0,860.6666666666666,62.0,0.5,437.3333333333333,29.0,53.0,3.3333333333333335,10.506666666666666,24.001474654377883,26.53333333333332,9.365,41292.0,840.0,867.8181818181819
52,2018-05-01,868.0,470.0,832.0,2.0,54.15,1.75,4.08,49.0,28.0,16.98,14.658064516129032,6.341935483870968,65.5,False,True,False,False,False,5,2,930.0,868.0,784.0,888.6666666666666,-62.0,0.5414746543778802,479.6666666666667,29.0,53.666666666666664,3.3333333333333335,8.316129032258065,19.308924731182795,46.333333333333314,7.936970417719638,56854.0,868.0,847.0909090909091
53,2018-06-01,750.0,550.0,324.0,4.0,73.33,2.24,7.14,56.0,25.0,5.79,11.15,2.953333333333333,89.9,False,False,True,False,False,6,2,868.0,930.0,868.0,849.3333333333334,-118.0,0.7333333333333333,495.0,28.0,51.666666666666664,3.3333333333333335,8.196666666666667,14.846021505376347,66.59999999999998,8.176666666666666,67425.0,840.0,806.3636363636364
